Brown University Keck/NASA Relab Spectrum LR-CMP-098/BKR1LR098
Wavelength(micron)	Reflectance
2.8121	0.31867
2.8136	0.31844
2.8151	0.31818
2.8166	0.31793
2.8182	0.31776
2.8197	0.31747
2.8212	0.31716
2.8228	0.31700
2.8243	0.31687
2.8259	0.31673
2.8274	0.31656
2.8289	0.31636
2.8305	0.31622
2.832	0.31613
2.8336	0.31600
2.8351	0.31588
2.8367	0.31567
2.8382	0.31546
2.8398	0.31537
2.8413	0.31532
2.8429	0.31523
2.8444	0.31510
2.846	0.31496
2.8476	0.31486
2.8491	0.31476
2.8507	0.31465
2.8523	0.31456
2.8538	0.31446
2.8554	0.31431
2.857	0.31427
2.8586	0.31418
2.8601	0.31408
2.8617	0.31400
2.8633	0.31393
2.8649	0.31388
2.8665	0.31379
2.8681	0.31372
2.8696	0.31368
2.8712	0.31366
2.8728	0.31352
2.8744	0.31338
2.876	0.31345
2.8776	0.31346
2.8792	0.31341
2.8808	0.31332
2.8824	0.31310
2.884	0.31298
2.8856	0.31306
2.8872	0.31316
2.8888	0.31319
2.8904	0.31315
2.892	0.31312
2.8937	0.31310
2.8953	0.31304
2.8969	0.31301
2.8985	0.31303
2.9001	0.31304
2.9018	0.31302
2.9034	0.31300
2.905	0.31295
2.9066	0.31294
2.9083	0.31289
2.9099	0.31271
2.9115	0.31260
2.9132	0.31267
2.9148	0.31267
2.9164	0.31268
2.9181	0.31275
2.9197	0.31279
2.9214	0.31281
2.923	0.31280
2.9247	0.31279
2.9263	0.31283
2.928	0.31284
2.9296	0.31275
2.9313	0.31275
2.9329	0.31281
2.9346	0.31286
2.9363	0.31295
2.9379	0.31298
2.9396	0.31278
2.9413	0.31267
2.9429	0.31290
2.9446	0.31305
2.9463	0.31301
2.9479	0.31287
2.9496	0.31288
2.9513	0.31307
2.953	0.31316
2.9547	0.31320
2.9564	0.31324
2.958	0.31326
2.9597	0.31326
2.9614	0.31330
2.9631	0.31332
2.9648	0.31334
2.9665	0.31326
2.9682	0.31316
2.9699	0.31325
2.9716	0.31342
2.9733	0.31357
2.975	0.31367
2.9767	0.31376
2.9784	0.31381
2.9801	0.31386
2.9818	0.31397
2.9836	0.31397
2.9853	0.31395
2.987	0.31413
2.9887	0.31429
2.9904	0.31436
2.9922	0.31449
2.9939	0.31457
2.9956	0.31460
2.9974	0.31477
2.9991	0.31491
3.0008	0.31510
3.0026	0.31525
3.0043	0.31538
3.0061	0.31546
3.0078	0.31559
3.0095	0.31577
3.0113	0.31592
3.013	0.31609
3.0148	0.31627
3.0165	0.31639
3.0183	0.31655
3.0201	0.31666
3.0218	0.31664
3.0236	0.31660
3.0253	0.31665
3.0271	0.31696
3.0289	0.31735
3.0306	0.31756
3.0324	0.31767
3.0342	0.31777
3.036	0.31792
3.0377	0.31800
3.0395	0.31825
3.0413	0.31856
3.0431	0.31872
3.0449	0.31888
3.0467	0.31908
3.0485	0.31926
3.0503	0.31944
3.0521	0.31964
3.0538	0.31977
3.0556	0.31988
3.0574	0.31998
3.0593	0.32033
3.0611	0.32071
3.0629	0.32093
3.0647	0.32110
3.0665	0.32129
3.0683	0.32153
3.0701	0.32172
3.0719	0.32187
3.0738	0.32214
3.0756	0.32240
3.0774	0.32257
3.0792	0.32273
3.0811	0.32302
3.0829	0.32337
3.0847	0.32357
3.0866	0.32379
3.0884	0.32401
3.0902	0.32420
3.0921	0.32428
3.0939	0.32451
3.0958	0.32492
3.0976	0.32523
3.0995	0.32550
3.1013	0.32574
3.1032	0.32597
3.1051	0.32620
3.1069	0.32643
3.1088	0.32667
3.1106	0.32690
3.1125	0.32717
3.1144	0.32742
3.1162	0.32768
3.1181	0.32790
3.12	0.32815
3.1219	0.32846
3.1238	0.32874
3.1256	0.32899
3.1275	0.32923
3.1294	0.32948
3.1313	0.32973
3.1332	0.32999
3.1351	0.33025
3.137	0.33057
3.1389	0.33084
3.1408	0.33108
3.1427	0.33137
3.1446	0.33163
3.1465	0.33192
3.1484	0.33224
3.1503	0.33254
3.1522	0.33279
3.1541	0.33304
3.1561	0.33329
3.158	0.33357
3.1599	0.33386
3.1619	0.33419
3.1638	0.33446
