Brown University Keck/NASA Relab Spectrum LR-CMP-023/LALR23
Wavelength(micron)	Reflectance
3.0858	0.16773
3.0876	0.16777
3.0895	0.16777
3.0913	0.16783
3.0932	0.16771
3.095	0.16763
3.0969	0.16777
3.0987	0.16786
3.1006	0.16781
3.1024	0.16784
3.1043	0.16792
3.1061	0.16790
3.108	0.16796
3.1099	0.16809
3.1117	0.16808
3.1136	0.16809
3.1155	0.16817
3.1173	0.16827
3.1192	0.16824
3.1211	0.16821
3.123	0.16819
3.1249	0.16834
3.1267	0.16833
3.1286	0.16833
3.1305	0.16837
3.1324	0.16844
3.1343	0.16852
3.1362	0.16855
3.1381	0.16850
3.14	0.16850
3.1419	0.16854
3.1438	0.16857
3.1457	0.16861
3.1476	0.16863
3.1495	0.16860
3.1514	0.16865
3.1534	0.16876
3.1553	0.16876
3.1572	0.16880
3.1591	0.16886
3.1611	0.16893
3.163	0.16884
3.1649	0.16862
3.1669	0.16869
3.1688	0.16899
3.1707	0.16906
3.1727	0.16903
3.1746	0.16907
3.1766	0.16904
3.1785	0.16909
3.1805	0.16919
3.1824	0.16931
3.1844	0.16930
3.1863	0.16923
3.1883	0.16933
3.1902	0.16954
3.1922	0.16950
3.1942	0.16934
3.1961	0.16931
3.1981	0.16942
3.2001	0.16953
3.2021	0.16959
3.204	0.16956
3.206	0.16954
3.208	0.16946
3.21	0.16947
3.212	0.16962
3.214	0.16980
3.216	0.16973
3.218	0.16964
3.22	0.16974
3.222	0.16985
3.224	0.16980
3.226	0.16984
3.228	0.17006
3.23	0.17009
3.232	0.16985
3.234	0.16991
3.236	0.17003
3.2381	0.16997
3.2401	0.16998
3.2421	0.17014
3.2441	0.17018
3.2462	0.17015
3.2482	0.17004
3.2502	0.17013
3.2523	0.17023
3.2543	0.17037
3.2564	0.17039
3.2584	0.17034
3.2605	0.17037
3.2625	0.17043
3.2646	0.17053
3.2666	0.17064
3.2687	0.17063
3.2707	0.17060
3.2728	0.17060
3.2749	0.17068
3.277	0.17067
3.279	0.17059
3.2811	0.17064
3.2832	0.17071
3.2853	0.17075
3.2873	0.17069
3.2894	0.17067
3.2915	0.17074
3.2936	0.17081
3.2957	0.17087
3.2978	0.17088
3.2999	0.17089
3.302	0.17077
3.3041	0.17085
3.3062	0.17089
3.3083	0.17088
3.3104	0.17091
3.3125	0.17089
3.3147	0.17093
3.3168	0.17091
3.3189	0.17095
3.321	0.17115
3.3232	0.17109
3.3253	0.17107
3.3274	0.17122
3.3296	0.17127
3.3317	0.17126
3.3338	0.17130
3.336	0.17119
3.3381	0.17114
3.3403	0.17117
3.3424	0.17114
3.3446	0.17114
3.3468	0.17117
3.3489	0.17118
3.3511	0.17127
3.3533	0.17120
3.3554	0.17104
3.3576	0.17096
3.3598	0.17101
3.362	0.17096
3.3641	0.17087
3.3663	0.17081
3.3685	0.17076
3.3707	0.17062
3.3729	0.17049
3.3751	0.17044
3.3773	0.17052
3.3795	0.17056
3.3817	0.17061
3.3839	0.17066
3.3861	0.17079
3.3883	0.17095
3.3905	0.17111
3.3928	0.17107
3.395	0.17097
3.3972	0.17096
3.3994	0.17098
3.4017	0.17091
3.4039	0.17076
3.4061	0.17053
3.4084	0.17047
3.4106	0.17042
3.4129	0.17025
3.4151	0.17011
3.4174	0.17022
3.4196	0.17046
3.4219	0.17059
3.4241	0.17073
3.4264	0.17098
3.4287	0.17121
3.4309	0.17142
3.4332	0.17154
3.4355	0.17171
3.4378	0.17183
3.44	0.17186
3.4423	0.17185
3.4446	0.17185
3.4469	0.17201
3.4492	0.17216
3.4515	0.17215
3.4538	0.17222
3.4561	0.17225
3.4584	0.17229
3.4607	0.17240
3.463	0.17256
3.4653	0.17260
3.4676	0.17253
3.47	0.17256
3.4723	0.17260
3.4746	0.17253
3.477	0.17247
3.4793	0.17247
3.4816	0.17251
