Brown University Keck/NASA Relab Spectrum LR-CMP-168/BIR2LR168
Wavelength(micron)	Reflectance
1.1636	0.13873
1.1639	0.13890
1.1641	0.13915
1.1644	0.13930
1.1647	0.13941
1.1649	0.13958
1.1652	0.13974
1.1654	0.13989
1.1657	0.14005
1.166	0.14021
1.1662	0.14043
1.1665	0.14065
1.1668	0.14075
1.167	0.14089
1.1673	0.14111
1.1676	0.14124
1.1678	0.14139
1.1681	0.14159
1.1683	0.14168
1.1686	0.14176
1.1689	0.14191
1.1691	0.14211
1.1694	0.14226
1.1697	0.14241
1.1699	0.14258
1.1702	0.14277
1.1704	0.14294
1.1707	0.14310
1.171	0.14325
1.1712	0.14335
1.1715	0.14347
1.1718	0.14367
1.172	0.14384
1.1723	0.14393
1.1726	0.14408
1.1728	0.14423
1.1731	0.14434
1.1734	0.14455
1.1736	0.14476
1.1739	0.14483
1.1742	0.14493
1.1744	0.14515
1.1747	0.14540
1.175	0.14548
1.1752	0.14558
1.1755	0.14577
1.1758	0.14595
1.176	0.14604
1.1763	0.14614
1.1766	0.14633
1.1768	0.14651
1.1771	0.14666
1.1774	0.14679
1.1776	0.14687
1.1779	0.14702
1.1782	0.14719
1.1784	0.14735
1.1787	0.14751
1.179	0.14767
1.1792	0.14783
1.1795	0.14797
1.1798	0.14807
1.18	0.14815
1.1803	0.14825
1.1806	0.14843
1.1808	0.14859
1.1811	0.14870
1.1814	0.14887
1.1817	0.14907
1.1819	0.14917
1.1822	0.14927
1.1825	0.14943
1.1827	0.14952
1.183	0.14964
1.1833	0.14979
1.1835	0.14989
1.1838	0.15004
1.1841	0.15017
1.1843	0.15027
1.1846	0.15041
1.1849	0.15058
1.1852	0.15073
1.1854	0.15093
1.1857	0.15103
1.186	0.15109
1.1863	0.15122
1.1865	0.15140
1.1868	0.15150
1.1871	0.15164
1.1873	0.15185
1.1876	0.15198
1.1879	0.15202
1.1882	0.15210
1.1884	0.15227
1.1887	0.15245
1.189	0.15256
1.1892	0.15272
1.1895	0.15284
1.1898	0.15287
1.1901	0.15307
1.1903	0.15326
1.1906	0.15338
1.1909	0.15343
1.1912	0.15351
1.1914	0.15367
1.1917	0.15383
1.192	0.15392
1.1923	0.15406
1.1925	0.15421
1.1928	0.15429
1.1931	0.15438
1.1933	0.15451
1.1936	0.15462
1.1939	0.15477
1.1942	0.15493
1.1944	0.15502
1.1947	0.15514
1.195	0.15527
1.1953	0.15539
1.1956	0.15554
1.1958	0.15561
1.1961	0.15568
1.1964	0.15583
1.1967	0.15598
1.1969	0.15610
1.1972	0.15613
1.1975	0.15619
1.1978	0.15635
1.198	0.15654
1.1983	0.15668
1.1986	0.15677
1.1989	0.15692
1.1992	0.15699
1.1994	0.15709
1.1997	0.15722
1.2	0.15728
1.2003	0.15735
1.2005	0.15747
1.2008	0.15763
1.2011	0.15775
1.2014	0.15781
1.2017	0.15796
1.2019	0.15817
1.2022	0.15827
1.2025	0.15827
1.2028	0.15835
1.203	0.15850
1.2033	0.15865
1.2036	0.15883
1.2039	0.15894
1.2042	0.15904
1.2044	0.15915
1.2047	0.15924
1.205	0.15936
1.2053	0.15946
1.2056	0.15958
1.2058	0.15969
1.2061	0.15976
1.2064	0.15982
1.2067	0.15992
1.207	0.16002
1.2072	0.16017
1.2075	0.16030
1.2078	0.16041
1.2081	0.16053
1.2084	0.16058
1.2087	0.16066
1.2089	0.16081
1.2092	0.16093
1.2095	0.16105
1.2098	0.16112
1.2101	0.16120
1.2103	0.16134
1.2106	0.16147
